'ВТОРНИК';'13.50-15.20';'лек.Русский язык и культура речи';'Лохов Сергей Николаевич, доцент';'203б';'ss';'Лохов Сергей Николаевич, доцент';'203б';'лек.Русский язык и культура речи';'Лохов Сергей Николаевич, доцент';'203б';'лек.Русский язык и культура речи';'Лохов Сергей Николаевич, доцент';'203б';'пр.Элективные курсы по физической культуре и спорту';'Ницина Ольга Александровна, старший преподаватель';'спорт.зал';'пр.Алгебра';'Захарченко Варвара Сергеевна, доцент';'222';'13.50-15.20';'ВТОРНИК'
'ВТОРНИК';'15.30-17.00';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'15.30-17.00';'ВТОРНИК'
'СРЕДА';'08.30-10.00';'пр.Математический анализ';'Марков Сергей Николаевич, доцент';'320';'';'';'';'пр.Иностранный язык';'Ермолаева Екатерина Валерьевна, старший преподаватель';'226';'пр.Математический анализ';'Гражданцева Елена Юрьевна, доцент';'316';'';'';'';'лаб.Компьютерная графика';'Семичева Наталия Леонидовна, доцент';'ком.к.123а';'08.30-10.00';'СРЕДА'
'СРЕДА';'10.10-11.40';'пр.Математический анализ';'Марков Сергей Николаевич, доцент';'320';'пр.Линейная алгебра';'Захарченко Варвара Сергеевна, доцент';'222';'пр.Иностранный язык';'Ермолаева Екатерина Валерьевна, старший преподаватель';'226';'лек.Математический анализ';'Гражданцева Елена Юрьевна, доцент';'316';'лаб.Компьютерная типографика';'Семичева Наталия Леонидовна, доцент';'ком.к.123а';'лек.Математический анализ';'Гражданцева Елена Юрьевна, доцент';'316';'10.10-11.40';'СРЕДА'
'СРЕДА';'11.50-13.20';'пр.Алгебра';'Захарченко Варвара Сергеевна, доцент';'222';'лек.Линейная алгебра';'Дыхта Владимир Александрович, профессор';'203б';'лек.Линейная алгебра';'Дыхта Владимир Александрович, профессор';'203б';'лек.Информатика и программирование';'Хмельнов Алексей Евгеньевич, доцент';'318';'лаб.Системное и прикладное программное обеспечение';'Семичева Наталия Леонидовна, доцент';'ком.к.123а';'пр.Математический анализ';'Гражданцева Елена Юрьевна, доцент';'316';'11.50-13.20';'СРЕДА'
'СРЕДА';'13.50-15.20';'';'';'';'';'';'';'пр.Линейная алгебра';'Захарченко Варвара Сергеевна, доцент';'222';'лаб.Информатика и программирование';'Хмельнов Алексей Евгеньевич, доцент';'ком.к.123б';'пр.Элективные курсы по физической культуре и спорту (10 недель)';'Ницина Ольга Александровна, старший преподаватель';'спорт.зал';'лаб.Системное и прикладное программное обеспечение (10 недель)';'Семичева Наталия Леонидовна, доцент';'ком.к.123а';'13.50-15.20';'СРЕДА'
'СРЕДА';'13.50-15.20';'';'';'';'';'';'';'пр.Линейная алгебра';'Захарченко Варвара Сергеевна, доцент';'222';'лаб.Информатика и программирование';'Хмельнов Алексей Евгеньевич, доцент';'ком.к.123б';'';'';'';'';'';'';'13.50-15.20';'СРЕДА'
'СРЕДА';'13.50-15.20';'';'';'';'пр. Элективные курсы по физической культуре и спорту (10 недель)';'Майкова Ольга Олеговна, старший преподаватель';'спорт.зал';'пр.Линейная алгебра';'Захарченко Варвара Сергеевна, доцент';'222';'лаб.Информатика и программирование';'Хмельнов Алексей Евгеньевич, доцент';'ком.к.123б';'лек.Системное и прикладное программное обеспечение (10 недель)';'Семичева Наталия Леонидовна, доцент';'ком.к.123а';'лек.Системное и прикладное программное обеспечение (10 недель)';'Семичева Наталия Леонидовна, доцент';'ком.к.123а';'13.50-15.20';'СРЕДА'
'СРЕДА';'13.50-15.20';'';'';'';'';'';'';'пр.Линейная алгебра';'Захарченко Варвара Сергеевна, доцент';'222';'лаб.Информатика и программирование';'Хмельнов Алексей Евгеньевич, доцент';'ком.к.123б';'';'';'';'';'';'';'13.50-15.20';'СРЕДА'
'СРЕДА';'15.30-17.00';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'15.30-17.00';'СРЕДА'
'ЧЕТВЕРГ';'08.30-10.00';'';'';'';'пр.Математический анализ';'Марков Сергей Николаевич, доцент';'203а';'лек.Дисциплина по выбору "Интернет-технологии"';'Казимиров Алексей Сергеевич, доцент';'ком.кл 121';'пр.Математический анализ';'Гражданцева Елена Юрьевна, доцент';'226';'пр.Русский язык и культура речи (10 недель)';'Лохов Сергей Николаевич, доцент';'203б';'';'';'';'08.30-10.00';'ЧЕТВЕРГ'
'ЧЕТВЕРГ';'08.30-10.00';'';'';'';'пр.Математический анализ';'Марков Сергей Николаевич, доцент';'203а';'лек.Дисциплина по выбору "Интернет-технологии"';'Казимиров Алексей Сергеевич, доцент';'ком.кл 121';'пр.Математический анализ';'Гражданцева Елена Юрьевна, доцент';'226';'';'';'';'';'';'';'08.30-10.00';'ЧЕТВЕРГ'
